function,n,gradient_approach,k,optimizer,lr,loss
sphere,2,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.28451164248194644,0.0
sphere,2,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.29180236761792017,0.0
sphere,2,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,2,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,2,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,4,bp,,Backpropagation,0.28604569798015356,0.0
sphere,4,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.08743526534371132,0.0
sphere,4,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.13948487287931619,0.0
sphere,4,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.19421004875503622,0.0
sphere,4,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.27758588993404254,0.0
sphere,4,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.38548849616120945,0.0
sphere,4,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,4,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,8,bp,,Backpropagation,0.3316314789064596,0.0
sphere,8,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.053942222798366295,0.0
sphere,8,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.10062406834225703,0.0
sphere,8,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.1459098807827726,0.0
sphere,8,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.2517256837472351,0.0
sphere,8,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4796114095885047,0.0
sphere,8,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.41097557070173313,0.0
sphere,8,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,16,bp,,Backpropagation,0.29180236761792017,0.0
sphere,16,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.03295741061991275,1.2051785501659076e-25
sphere,16,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.04784586506808224,0.0
sphere,16,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.09147771250936161,0.0
sphere,16,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.19201911340852976,0.0
sphere,16,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,0.0
sphere,16,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,0.0
sphere,16,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.3316314789064596,0.0
sphere,32,bp,,Backpropagation,0.2856579697784698,0.0
sphere,32,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.017040430717383544,4.713708590120547e-12
sphere,32,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.02990505625834176,1.553527692997928e-25
sphere,32,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.04671900479563783,0.0
sphere,32,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.1459098807827726,0.0
sphere,32,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4796114095885047,7.6839804400664325e-28
sphere,32,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,0.0
